"Index","Total","Status","Title","Rule Number","Rule Name","Folder","Image Path","Prompt Path","Result Path","Duration Seconds","Error","Completed At UTC"
"1","177","skipped","Ball Bounces Out Of The Hole – Is It Holed?","Def.","Ball bounces back out of the hole","output\000_001_Ball_Bounces_Out_Of_The_Hole_Is_It_Holed","output\000_001_Ball_Bounces_Out_Of_The_Hole_Is_It_Holed\illustration-v2.png","output\000_001_Ball_Bounces_Out_Of_The_Hole_Is_It_Holed\final-prompt-v2.txt","output\000_001_Ball_Bounces_Out_Of_The_Hole_Is_It_Holed\image-generation-v2.json","0.01","","2026-06-24T14:50:43.104Z"
"2","177","skipped","What counts as the general area?","R2","General area","output\002_001_What_counts_as_the_general_area","output\002_001_What_counts_as_the_general_area\illustration-v2.png","output\002_001_What_counts_as_the_general_area\final-prompt-v2.txt","output\002_001_What_counts_as_the_general_area\image-generation-v2.json","0.01","","2026-06-24T14:50:43.104Z"
"3","177","skipped","Too Many Clubs Discovered After Starting Round","R4","Maximum of 14 clubs","output\004_002_Too_Many_Clubs_Discovered_After_Starting_Round","output\004_002_Too_Many_Clubs_Discovered_After_Starting_Round\illustration-v2.png","output\004_002_Too_Many_Clubs_Discovered_After_Starting_Round\final-prompt-v2.txt","output\004_002_Too_Many_Clubs_Discovered_After_Starting_Round\image-generation-v2.json","0.00","","2026-06-24T14:50:43.102Z"
"4","177","skipped","Borrowing a Club During a Round","R4","Maximum of 14 clubs","output\004_003_Borrowing_a_Club_During_a_Round","output\004_003_Borrowing_a_Club_During_a_Round\illustration-v2.png","output\004_003_Borrowing_a_Club_During_a_Round\final-prompt-v2.txt","output\004_003_Borrowing_a_Club_During_a_Round\image-generation-v2.json","0.01","","2026-06-24T14:50:43.107Z"
"5","177","skipped","Penalty for Arriving Late to the Tee","R5","Late arrival","output\005_001_Penalty_for_Arriving_Late_to_the_Tee","output\005_001_Penalty_for_Arriving_Late_to_the_Tee\illustration-v2.png","output\005_001_Penalty_for_Arriving_Late_to_the_Tee\final-prompt-v2.txt","output\005_001_Penalty_for_Arriving_Late_to_the_Tee\image-generation-v2.json","0.01","","2026-06-24T14:50:43.105Z"
"6","177","success","Practising after finishing a hole","R5","Practice putting and chipping","output\005_004_Practising_after_finishing_a_hole","output\005_004_Practising_after_finishing_a_hole\illustration-v2.png","output\005_004_Practising_after_finishing_a_hole\final-prompt-v2.txt","output\005_004_Practising_after_finishing_a_hole\image-generation-v2.json","155.65","","2026-06-24T14:53:18.751Z"
"7","177","skipped","What to Do When Play Is Suspended Due to a Thunderstorm","R5","Suspension of play/thunderstorm","output\005_004_What_to_Do_When_Play_Is_Suspended_Due_to_a_Thunderstorm","output\005_004_What_to_Do_When_Play_Is_Suspended_Due_to_a_Thunderstorm\illustration-v2.png","output\005_004_What_to_Do_When_Play_Is_Suspended_Due_to_a_Thunderstorm\final-prompt-v2.txt","output\005_004_What_to_Do_When_Play_Is_Suspended_Due_to_a_Thunderstorm\image-generation-v2.json","0.00","","2026-06-24T14:50:43.162Z"
"8","177","skipped","Chipping and putting before your tee shot","R5","Chipping and putting while waiting","output\005_005_Chipping_and_putting_before_your_tee_shot","output\005_005_Chipping_and_putting_before_your_tee_shot\illustration-v2.png","output\005_005_Chipping_and_putting_before_your_tee_shot\final-prompt-v2.txt","output\005_005_Chipping_and_putting_before_your_tee_shot\image-generation-v2.json","0.00","","2026-06-24T14:50:43.164Z"
"9","177","skipped","What To Do If There's a Risk of Lightning","R5","Suspension of play/thunderstorm","output\005_005_What_To_Do_If_Theres_a_Risk_of_Lightning","output\005_005_What_To_Do_If_Theres_a_Risk_of_Lightning\illustration-v2.png","output\005_005_What_To_Do_If_Theres_a_Risk_of_Lightning\final-prompt-v2.txt","output\005_005_What_To_Do_If_Theres_a_Risk_of_Lightning\image-generation-v2.json","0.00","","2026-06-24T14:50:43.166Z"
"10","177","skipped","Penalty for hitting the wrong ball in a penalty area","R6","Penalty area – Wrong ball","output\006_001_Penalty_for_hitting_the_wrong_ball_in_a_penalty_area","output\006_001_Penalty_for_hitting_the_wrong_ball_in_a_penalty_area\illustration-v2.png","output\006_001_Penalty_for_hitting_the_wrong_ball_in_a_penalty_area\final-prompt-v2.txt","output\006_001_Penalty_for_hitting_the_wrong_ball_in_a_penalty_area\image-generation-v2.json","0.00","","2026-06-24T14:50:43.168Z"
