"Source Image","Question Count","Rules","Titles"
"page-01.png",3,"R1/3 - Stroke play and match play | R3/21 - Holing out and conceding | R6/14 - Substituting the ball","Penalty differences in stroke play and match play | What must you do with your ball on each hole? | When can you change your golf ball?"
"page-02.png",4,"20 - When in doubt about the rules | 6/8/9 - Playing the ball as it lies","Is playing two balls allowed in match play? | What should you do if you’re unsure which rule applies (stroke play)? | What should you do if you find your ball in a tricky spot? | When must you NOT play the ball as it lies?"
"page-03.png",5,"14 - Dropping and re-dropping","Correct way to drop a ball | What do you do if the ball won't stay in the relief area? | What happens if the dropped ball rolls out of the relief area? | What is a club-length? | When must a ball be dropped again?"
"page-04.png",5,"R14 - Incorrect drop | R5 - Suspension of play/thunderstorm","Penalty for Dropping Incorrectly but Playing from the Right Spot | Penalty for Placing Instead of Dropping | Penalty for Playing from the Wrong Spot After a Drop | What To Do If There's a Risk of Lightning | What to Do When Play Is Suspended Due to a Thunderstorm"
"page-05.png",4,"R4 - Maximum of 14 clubs | R5 - Late arrival | R6 - The honour/order of play","Borrowing a Club During a Round | Too Many Clubs Discovered After Starting Round | Penalty for Arriving Late to the Tee | Order of Play on the First Tee"
"page-06.png",4,"6 - Playing from outside the teeing area | 6 - Teeing area | 6 - Playing in the wrong order","Correcting a teeing area mistake | Defining the teeing area | Penalty for playing from outside the teeing area | What happens if you tee off in the wrong order?"
"page-07.png",5,"Def./R6 - Air shot | R6 - Tee-markers | R6 - Playing from the teeing area | R6 - Ball falls off the tee | R6/8/15 - Relief","Does an air shot count as a stroke? | Moving the tee-markers | Playing from the wrong teeing area | What happens if your ball falls off the tee accidentally? | What can you do on the tee?"
"page-08.png",5,"R10 - Advice and line of play | R18 - Provisional/lost ball | R5 - Chipping and putting while waiting","Giving advice before a shot | When can you discuss distances on the course? | Can you play a provisional ball if your ball is in a penalty area? | How and when to play a provisional ball | Chipping and putting before your tee shot"
"page-09.png",4,"Def./R14/18 - Looking for a ball | R2 - General area | R7 - Ball moved during a search | R7/14 - Identifying the ball","Time to look for a lost ball | What counts as the general area? | What if you move your ball while searching? | Identifying your ball"
"page-10.png",4,"R6 - Playing in the wrong order | R8/9 - Do not break anything off or bend anything out of the way","Penalty for taking advantage with wrong order of play | Playing out of turn to save time | Moving or bending grass before your shot | Penalty for breaking off branches during a practice swing"
"page-11.png",5,"R10 - Advice and line of play | R9 - Ball moved when grounding the club | R9 - Ball moved when taking a practice swing","Penalty for giving or asking for advice | What advice can you ask for on the course? | What happens if you get advice without asking? | Penalty for moving the ball when grounding the club | What happens if you move your ball on a practice swing?"
"page-12.png",4,"14/15 - Balls close to each other | 16 - Embedded ball | Def./R15 - Loose impediments | R15 - Movable obstructions","What to do when two balls are very close together | Taking relief for an embedded ball | Moving loose impediments around your ball | Dealing with movable obstructions on the course"
"page-13.png",5,"16 - Abnormal course conditions","Free Relief from Temporary Water | Identifying Immovable Obstructions | Recognising Ground Under Repair | What Kind of Animal Holes Give Free Relief? | When Is Free Relief Allowed for Abnormal Course Conditions?"
"page-14.png",4,"17 - Taking Relief from Abnormal Course Conditions","Choosing the Correct Relief Point | No Play Zones in Relief Situations | Relief Location Choices | What if the nearest point is in a bad lie?"
"page-15.png",3,"R13 - Wrong green | R16 - Ball lost in abnormal course conditions | R8 - Divots, tractor ruts, bald patches, etc.","Ball lands on the wrong green | Free relief for lost ball in abnormal course conditions | Playing from a divot, rut or bald patch"
"page-16.png",3,"R19 - Unplayable ball","What are your options for an unplayable ball? | What if your dropped ball ends up back in the same spot? | Who decides if a ball is unplayable?"
"page-17.png",5,"R11 - Ball hits an outside influence or the player | R6 - Wrong ball","Deliberately stopping your ball with equipment | Playing after your ball hits another person or animal | Consequence of not correcting a wrong ball mistake | Penalty for playing the wrong ball | What to do if you can't find your original ball after hitting a wrong ball"
"page-18.png",3,"R10 - Double hit | R18 - Lost ball | R9/14 - Ball at rest moved by an outside influence","What happens if you accidentally hit the ball twice in one swing? | What counts as a lost ball? | What to do if your ball is moved by an animal"
"page-19.png",4,"R12 - Do not touch or test the sand | R12 - Bunker | R7 - Ball disappeared in the sand | R7/14 - Identifying the ball","What is not allowed before your bunker shot? | When is a ball 'in the bunker'? | What can you do if your ball sinks into the bunker? | How do you check if a ball in a bunker is yours?"
"page-20.png",4,"R10 - Advice and line of play | R14/15 - Balls close to each other | R15 - Loose impediments | R15 - Movable obstructions","Allowed questions in golf | What to do when two balls are too close together | Handling loose impediments | Moving artificial objects"
"page-21.png",4,"R16 - Abnormal course conditions","Animal holes and relief | Dropping outside a bunker due to abnormal conditions | If the bunker is completely flooded | Taking relief from abnormal course conditions in a bunker"
"page-22.png",4,"R12 - Old footprints, buried lie, etc. | R19 - Unplayable ball","Playing a Ball from a Bad Lie | Declaring a Ball Unplayable in a Bunker | Dropping After Returning to Last Stroke Location | Options for an Unplayable Ball in a Bunker"
"page-23.png",4,"R10 - Double hit | R12 - Ball stays in bunker | R12/14/18 - Ball hit out of bounds/lost ball | R8/12 - Ball rolls into your own footprints","What Happens If You Accidentally Double-Hit the Ball? | Raking Between Bunker Shots | What to Do if Ball is Lost or Out of Bounds From Bunker | Ball Rolls Back Into Your Footprints in Bunker"
"page-24.png",3,"R17 - In a penalty area | R17/18 - In a penalty area","Options for playing from a penalty area | Where does the penalty area begin? | Ball possibly in a penalty area"
"page-25.png",3,"17 - Penalty area rule","Options when your ball is in a yellow penalty area | Returning to previous spot after water hazard | Where to drop after yellow penalty area"
"page-26.png",3,"17 - Penalty Areas","Knowing When Local Rules Offer Extra Options | Options After Hitting Into a Red Penalty Area | What Should You Do After Losing a Ball in a Red Penalty Area?"
"page-27.png",4,"R16 - Embedded ball | R16 - Dangerous situation | R7 - Identifying the ball | R8/9/17 - Playing the ball as it lies","Dealing with an embedded ball in a penalty area | Free drop near a dangerous animal | What to do if you can't tell if the ball is yours | Playing a ball in a penalty area"
"page-28.png",5,"R10 - Advice and line of play | R15 - Loose impediments | R15 - Movable obstructions | R16 - Abnormal course conditions | R19 - Unplayable lie","What advice can you ask for on the golf course? | Moving loose impediments | Removing artificial objects | Taking relief from obstructions in a penalty area | Declaring a ball unplayable in a penalty area"
"page-29.png",4,"R10 - Double hit | R17 - Penalty area – Ball out of bounds or lost | R17 - Penalty area – Ball lost or not out | R6 - Penalty area – Wrong ball","If you accidentally double-hit the ball | Ball from penalty area goes out of bounds | What happens if you hit your ball into the water again from a penalty area? | Penalty for hitting the wrong ball in a penalty area"
"page-30.png",3,"R18 - Out of bounds and provisional ball","What do you have to do if your ball is out of bounds? | What happens to your provisional ball? | When is a ball out of bounds?"
"pageb-01.png",4,"16/18 - Player out of bounds but ball on the course | 18 - Playing a provisional ball","Relief from movable obstructions outside the course | Standing out of bounds to play a ball | Provisional ball and penalty areas | When to play a provisional ball"
"pageb-02.png",3,"R18 - Provisional Balls","Playing a second ball without announcing it as provisional | Provisional ball played past where the original ball is believed to be | What if the provisional ball is in a better spot?"
"pageb-03.png",3,"R18 - Provisional Ball | R18/19 - Provisional Ball / Unplayable Ball","What happens if you find your original ball on the course? | What if your original ball is out of bounds or not found? | Original ball found but is unplayable"
"pageb-04.png",4,"R13 - Green and fringe | R13 - Wrong green | R13/14 - Marking and picking up the ball | R6 - Order of play","Is the fringe part of the green? | What should you do if your ball lands on the wrong green? | How to mark your ball on the green | Who plays first on the green?"
"pageb-05.png",4,"R13 - Ball moved when marking it | R13 - Ball moves after being put back | R14 - Ball marked by another person | R15 - Marking to the side","If you accidentally move your ball or marker when marking | What happens if the ball rolls away after being replaced? | Who can put the ball back? | Marking to the side to avoid another player's line"
"pageb-06.png",4,"10 - Advice and line of play | 13 - Ball accidentally moved | 6 - Wrong ball","Advice about line of play on the green | What happens if you accidentally move your ball on the green? | Consequences if you hole out with a wrong ball | Penalty for playing the wrong ball"
"pageb-07.png",5,"R13 - Putting Green | R15 - Movable Obstructions | R15 - Loose Impediments","Repairing Damage on the Green | Testing the Green | What To Do With An Embedded Ball | Dealing with Movable Obstructions | Removing Loose Impediments on the Green"
"pageb-08.png",4,"R11 - Ball deflected by marker | R11 - Ball hits another ball | R16 - Sprinklers | R16 - Puddles and other abnormal course conditions","Ball hits a ball-marker | Ball striking another ball on the green | Interference from a sprinkler near the green | Taking relief from a puddle or abnormal course condition"
"pageb-09.png",4,"Def. - Ball bounces back out of the hole | R11 - Ball hits another player or an outside influence | R11/13 - Ball hits the flagstick or the person tending it","Ball Bounces Out Of The Hole – Is It Holed? | Ball Hits Another Player On The Green – What Now? | Flagstick Hit Accidentally – What Happens? | Flagstick Used To Stop The Ball – What's The Penalty?"
"pageb-10.png",4,"R10 - Careless putting | R13 - Ball wedged on the flagstick | R13 - Ball on the edge of the hole | R9 - Ball at rest moved by an outside influence","Penalty for pushing or scraping a putt | Ball wedged against the flagstick | Waiting time for a ball on the edge of the hole | What to do if your ball is moved by a dog"
"pageb-11.png",4,"R10 - Protection from the elements | R16 - Double green | R3/9 - Putt conceded/ball not holed | R5 - Practice putting and chipping","Umbrellas and outside help while putting | Relief from wrong hole on a double green | Conceding putts in stroke play | Practising after finishing a hole"
"pageb-12.png",5,"R9 - Ball at rest is moved","Ball moved by an animal | Ball moved by the wind after a stroke | Ball moved while looking for it | Ball moved while preparing a stroke | Opponent moves your ball in match play"
"pageb-13.png",5,"R11 - Ball in motion accidentally hits ... the opponent in match play | R11 - Ball in motion accidentally hits ... | R13 - Ball in motion accidentally hits ... the flagstick","Ball accidentally hits opponent in match play | Ball hits another ball at rest | Ball hits player's own equipment | Ball strikes an outside influence | Your ball hits the flagstick in the hole"
"pageb-14.png",4,"11 - Ball in motion intentionally deflected","Exception for balls intentionally deflected on the green | Objects as ball stoppers | Penalty for intentionally deflecting a moving ball | Where to drop a ball intentionally deflected by a person"
